doi;names;results_from_orcid;
10.1006/nlme.1998.3825; [Izquierdo, Medina, Izquierdo, Barros, de Souza, Mello e Souza]; [];
10.1016/s1364-6613(00)01707-1; [Hamann]; [];
10.1124/pr.116.013474; [LaLumiere, McGaugh, McIntyre]; [];
10.1152/jn.2001.85.1.269; [Sun, Zhao, Nelson, Alkon]; [];
10.1016/s0165-6147(02)01899-0; [Sun, Alkon]; [];
10.1523/jneurosci.20-12-04563.2000; [Davis, Vanhoutte, Pagès, Caboche, Laroche]; [];
10.1523/jneurosci.21-15-05484.2001; [Waltereit, Dammermann, Wulff, Scafidi, Staubli, Kauselmann, Bundman, Kuhl]; [];
10.1523/jneurosci.23-27-09016.2003; [Giovannini, Efoudebe, Passani, Baldi, Bucherelli, Giachi, Corradetti, Blandina]; [];
10.1080/22221751.2020.1772679; [Liu, Feng, Zhang, Guo, Zhang, Suo, Hu, Guo, Wang, Huang, Xiong, Chen, Chen, Lan]; [0000-0003-1300-4652, 0000-0002-0384-8598, 0000-0003-0678-4064];
10.1080/22221751.2020.1725399; [Chen, Liu, Zhang, Xu, Ye, Wu, Sun, Liu, Wu, Zhong, Mei, Zhang, Chen, Li, Shi, Lan, Liu]; [0000-0003-1300-4652, 0000-0003-2868-1816, 0000-0002-0384-8598, 0000-0002-6154-4437];
10.17504/protocols.io.bb5piq5n; [A, Mackay]; [];
10.1093/clinchem/hvaa029; [Chu, Pan, Cheng, Hui, Krishnan, Liu, Ng, Wan, Yang, Wang, Peiris, Poon]; [0000-0003-1506-0535, 0000-0001-9552-2503];
10.1128/cmr.00074-09; [Burd]; [];
10.1080/16549716.2020.1754016; [Lazo-Porras, Perez-Leon, Cardenas, Pesantes, Miranda, Suggs, Chappuis, Perel, Beran]; [0000-0003-0062-5476, 0000-0001-7229-3920, 0000-0002-0649-3649, 0000-0003-4860-587X, 0000-0002-2946-4330, 0000-0002-4738-5468];
10.1186/s12961-015-0029-4; [Beran, Miranda, Cardenas, Bigdeli]; [0000-0001-7229-3920, 0000-0002-3173-9284, 0000-0002-4738-5468];
10.1002/chp.20124; [Curran, Grimshaw, Hayden, Campbell]; [0000-0001-8015-8243, 0000-0001-9977-0467];
10.1111/1468-0009.12197; [GREENHALGH, JACKSON, SHAW, JANAMIAN]; [0000-0003-2369-8088, 0000-0002-7014-4793];

